Questionnaire,Section,Item #,Question,Coverage - AI Provided,Current Answer,Additional Info Added,Current Status,Flags/Notes,Proposed Answer,Plain English,Flag Risk,Gap Description,Required Fix - File,Required Fix - Text,Required Fix - Words
OWASP Top 10,A05:2021 - Security Misconfiguration,1,"Do you have a repeatable security hardening process? If yes, please explain.",Full,,,,,"Yes. Hardening is repeatable through Terraform-managed infrastructure (per AWS Processes), secure-by-default configurations on Aptible, and pre-deploy validation per the System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(b)–(c).",Do you have a repeatable checklist for locking down (hardening) the security settings of new systems?,Low,—,N/A,N/A — no fix needed.,0
OWASP Top 10,A06:2021 - Vulnerable and Outdated Components,1,"Do you regularly scan for vulnerabilities and is there a patch management process in place? If yes, please explain.",Partial,,,FOLLOW UP,Yes,"Yes. Vulnerability scanning runs against in-scope hosted services (Aptible, AWS) per Information Security Framework §6; dependency vulnerabilities are surfaced via GitHub Dependabot and triaged at least weekly with Critical/High remediated within 30 days and Medium within 90 days per the Framework §6 patch-SLA addition.",Do you regularly scan your code and systems for known security holes and patch them on a schedule?,High,"Source CSV flagged 'Upgrade Github, Remediate=Yes'; current policy lacks an explicit scanner-cadence-and-patch-SLA clause.",Millie Information Security & Data Governance Framework (1).md,"Dependency vulnerabilities shall be surfaced via GitHub Dependabot and triaged at least weekly; Critical and High findings shall be remediated within 30 days and Medium findings within 90 days, subject to the risk-management exception process.",35
OWASP Top 10,A07:2021 - Identification and Authentication Failures,1,"Do you protect against attackers compromising passwords, keys, or session tokens? If yes, please explain.",Partial,,,FOLLOW UP,Yes,"Yes. Passwords, keys, and tokens are protected per the Password Management Policy (strong construction, no shared use, deactivation on termination), the Encryption Policy (FIPS 140-2 key custody), and the §III session-token addition (signed short-lived tokens, rate-limited failed logins, session invalidation on logout / password change / role revocation).",Do you stop attackers from stealing or guessing user passwords and login session cookies?,High,Source CSV flagged Remediate=Yes; Password Management Policy currently covers user password hygiene but lacks explicit session-token / brute-force language.,03o HIPAA - Password Management Policy.md,"Application sessions shall be protected by signed, short-lived tokens; failed-login attempts shall be rate-limited and monitored; and session invalidation shall occur on logout, password change, or role revocation.",28
OWASP Top 10,A08:2021 - Software and Data Integrity Failures,1,"Do you have code and infrastructure protection against integrity violations? If yes, please explain.",Full,,,,,"Yes. Code integrity is protected via signed commits, protected branches, and peer-reviewed pull requests in GitHub, plus Aptible's signed deploy pipeline, per the System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(b)–(c).",Do you make sure nobody can tamper with your code or systems without detection?,Low,—,N/A,N/A — no fix needed.,0
OWASP Top 10,A09:2021 - Security Logging & Monitoring Failures,1,"Are you ensuring all login, access control failures, and server-side input validation failures can be logged? If yes, please explain.",Partial,,,FOLLOW UP,,"Yes. Login activity, access control failures, and application activity are logged via Aptible, AWS CloudWatch, GuardDuty, and internal admin dashboards per Information Security Framework §7; reviews follow the Security Incident Management Policy.","Do you record (log) login attempts, permission denials, and bad input so you can spot attacks?",Medium,Source CSV flagged FOLLOW UP; defensible but assessor may want explicit server-side input validation logging coverage.,N/A,N/A — no fix needed.,0
OWASP Top 10,A10:2021 - Server-Side Request Forgery (SSRF),1,"Do you prevent SSRF by implementing any defense in depth controls? If yes, please explain.",Partial,,,FOLLOW UP,,Yes. Outbound traffic is constrained by VPC security groups and NAT gateways per Information Security Framework §6 and AWS Network Security row 4; application-layer URL allow-listing is applied for known external integrations.,Do you stop attackers from tricking your servers into making requests to internal systems they shouldn't reach (SSRF)?,Medium,Source CSV flagged FOLLOW UP; defensible posture but no SSRF-specific defense-in-depth language in policy.,N/A,N/A — no fix needed.,0
PCI DSS Assessment Form,General,1,"Does your organization process, store, or transmit payment card data on behalf of our company?",N/A,,,,,"N/A. Millie does not process, store, or transmit cardholder data on behalf of ECH; payments are outsourced to a third-party processor and Millie is a SAQ-A-style merchant with no card data in scope.",Does your organization handle credit-card payment data for us?,None,—,N/A,N/A — no fix needed.,0
PCI DSS Assessment Form,General,2,Has your organization undergone a PCI DSS assessment in the last 12 months?,N/A,,,,,"N/A. Because Millie has no cardholder data environment, a PCI DSS assessment is not applicable; payments are handled by a third-party PCI-compliant processor.",Have you gone through a formal credit-card security (PCI) assessment in the past year?,None,—,N/A,N/A — no fix needed.,0
PCI DSS Assessment Form,General,3,Did your organization receive a passing grade on the most recent PCI DSS assessment?,N/A,,,,,N/A. No PCI DSS assessment is performed because Millie does not handle cardholder data.,Did you pass your most recent credit-card security (PCI) assessment?,None,—,N/A,N/A — no fix needed.,0
PCI DSS Assessment Form,General,4,Are all payment card data stored in an encrypted format?,N/A,,,,,N/A. Millie does not store payment card data; tokenization and storage are handled by the third-party processor.,Are all stored credit-card numbers scrambled (encrypted)?,None,—,N/A,N/A — no fix needed.,0
PCI DSS Assessment Form,General,5,Is access to payment card data restricted to authorized personnel only?,N/A,,,,,N/A. Millie does not store or access payment card data; the third-party processor controls access to cardholder data.,Is access to credit-card data restricted to only people who need it for their job?,None,—,N/A,N/A — no fix needed.,0
PCI DSS Assessment Form,General,6,Are access control systems in place to restrict access to payment card data?,N/A,,,,,"N/A. No cardholder data environment exists at Millie; access-control systems apply to Millie's clinical and operational systems per Information Security Framework §4, not to card data.",Do you have technical controls that block unauthorized people from reaching credit-card data?,None,—,N/A,N/A — no fix needed.,0
PCI DSS Assessment Form,General,7,Are all system components and software updated to the latest security patches?,N/A,,,,,"Yes — Millie maintains patching for its own systems per Information Security Framework §6 and the SDLC Policy §III(d), but cardholder-data systems specifically are out of scope (handled by the third-party processor).",Are all your systems and software kept up to date with the latest security patches?,None,—,N/A,N/A — no fix needed.,0
PCI DSS Assessment Form,General,8,Is your organization's network protected by a firewall?,N/A,,,,,Cardholder-data network protection is provided by the third-party PCI-compliant payment processor; Millie's own cloud network is protected per Information Security Framework §6 and AWS Network Security responses.,Does your network have a firewall protecting it?,None,—,N/A,N/A — no fix needed.,0
PCI DSS Assessment Form,General,9,Are all passwords used within your organization changed periodically?,N/A,,,,,N/A for cardholder-data accounts (none exist at Millie); Millie's general password rotation/management for its own systems is per the Password Management Policy.,Are passwords at your organization changed on a regular schedule?,None,—,N/A,N/A — no fix needed.,0
PCI DSS Assessment Form,General,10,Are all passwords used within your organization complex and unique?,N/A,,,,,"N/A for cardholder-data accounts (none exist at Millie); Millie's general password complexity requirements for its own systems are per the Password Management Policy §III(a) (length, character classes, prohibited patterns).",Are passwords at your organization both complex (hard to guess) and unique (not reused)?,None,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,A. Enterprise Risk Management,A.1,Is there a formalized risk governance policy approved by management that defines the Enterprise Risk Management program requirements?,Full,Yes,"Millie’s Risk Management Policy requires risk assessments at least annually, reviews threats/vulnerabilities/likelihood/impact, and documents control recommendations. The Information Security & Data Governance Framework also describes annual/as-needed risk assessments reviewed by leadership.",,,"Yes. The HIPAA Risk Management Policy and Information Security Framework §2 Governance & Risk Management together constitute Millie's risk governance program; annual risk assessments are presented to the Risk Review Committee and, for material risks, to the Board.","Do you have a written, leadership-approved policy describing how the company identifies and manages risk?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,B. Nth Party Management,B.1,Is there a third party risk management program that is reviewed and approved by management which includes 4th and Nth parties as part of the program?,Full,Yes,"Yes, scoped to vendors that handle PHI or other sensitive Millie data. Millie maintains a third-party risk management process through its HIPAA Business Associate Agreement policy and Information Security & Data Governance Framework. Vendors that create, receive, maintain, or transmit PHI on Millie’s behalf must execute a BAA before access is granted, accounts are created, or payment is made. Contract renewals are monitored by the Chief Privacy Officer, and executed BAAs are maintained centrally. Millie’s BAA/subcontractor terms require downstream subcontractors that create, receive, maintain, or transmit PHI to agree in writing to the same restrictions, conditions, and requirements. Millie is also maintaining vendor/platform inventories and can review critical vendors and sub-processors as part of ongoing security and compliance governance.",,,"Yes. Information Security Framework §11 Third-Party & Vendor Management defines a risk-based third-party program owned by the Chief Security Officer and Chief Privacy Officer, and explicitly covers fourth and Nth parties through BAA flow-down requirements.","Do you have a written, leadership-approved program for managing risks from your vendors and their vendors (and so on)?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,B. Nth Party Management,B.2,"For all organizational entities (e.g., vendor's vendors, subcontractors, fourth parties, Nth parties) is there a contractual relationship that extends obligations to each entity?",Full,Yes,BAA includes this,,,"Yes. Per Information Security Framework §11 and the HIPAA Business Associate Agreement Policy, vendors handling PHI must execute a BAA and require materially similar privacy and security obligations of their subcontractors / subprocessors / Nth parties.",Do your contracts require your vendors to pass the same security obligations down to their subcontractors?,Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,C. Information Assurance,C.1,"Is there a documented, approved cybersecurity risk management policy communicated across the organization?",Full,Yes,"Millie’s Risk Management Policy requires risk assessments at least annually, reviews threats/vulnerabilities/likelihood/impact, and documents control recommendations. The Information Security & Data Governance Framework also describes annual/as-needed risk assessments reviewed by leadership.",,,"Yes. The Information Security Framework and HIPAA Risk Management Policy together define Millie's cybersecurity risk management approach, are approved by Company leadership, and are communicated to personnel.","Do you have a written, communicated cybersecurity risk-management policy?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,C. Information Assurance,C.4,Is there a documented risk assessment process for information security with consistent and comparable results?,Full,Yes,Yes,,,"Yes. The HIPAA Risk Management Policy §III defines a repeatable nine-step assessment (universe of ePHI, threat ID, vulnerability ID, control analysis, likelihood, impact, risk determination, control recommendations, documentation) producing comparable results year over year.","Do you follow a consistent, repeatable process for assessing information-security risks?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,D. Asset and Info Management,D.1,"Is there a management-approved asset management program that is communicated to constituents and has an owner to maintain, review, and manage IT assets (e.g. systems, hardware, services, and data), and respective controls, throughout their life cycles?",Full,Yes,,,,"Yes. The System Development Life Cycle (SDLC) & Asset Lifecycle Policy is management-approved, names the Chief Security Officer as owner, and covers planning, deployment, operations, and retirement of systems and hardware; the Platforms & Access Matrix serves as the IT asset inventory.","Do you have an approved program for tracking and managing IT assets (systems, hardware, data) over their full lifecycle?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,D. Asset and Info Management,D.2,"Is there an acceptable use policy for information and associated assets that has been approved by management, communicated to appropriate constituents, and assigned an owner to maintain and periodically review the policy?",Full,Yes,,,,"Yes. The HIPAA Workstation Use Policy and Safeguards Policy together constitute Millie's acceptable-use program covering workstations, mobile devices, BYOD, email, texting, and social media; both are management-approved and reviewed.","Do you have an approved ""acceptable use"" policy telling staff how they may and may not use company systems and data?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,D. Asset and Info Management,D.3,"Is there a records retention policy and retention schedule covering paper and electronic records, including email in support of applicable regulations, standards, and contractual requirements?",Partial,Yes,,,,"Yes. The Paper Document Management Policy and Information Security Framework §9 Data Retention & Lifecycle Management together govern retention; clinical / application data is retained per business and regulatory needs, logs for 6 months in DB then archived to AWS S3.","Do you have a written policy saying how long you keep paper and electronic records, including email?",Medium,Framework §9 currently says 'retained indefinitely'; assessor may want a structured retention schedule per record class. Defensible at Millie's scale but flagged for terminology.,N/A,N/A — no fix needed.,0
SIG Lite 2025,E. Human Resources Security,E.1,"Are Human Resources policies and procedures approved by management, communicated to constituents and have an owner to maintain and review?",N/A,,,,,"N/A as a standalone security-team-owned policy. HR policies (background checks, performance reviews, sanctions) are administered through Gusto and reviewed by Millie's People Ops function; security obligations on personnel are codified in the Safeguards Policy and Workstation Use Policy.","Are your HR policies approved by leadership, shared with staff, and assigned to an owner for upkeep?",None,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,E. Human Resources Security,E.3,"Does the organization have an employee performance process that is documented, maintained, and reviewed by management periodically?",N/A,,,,,N/A. Employee performance is managed through Millie's People Ops function via Gusto with periodic management review; no separate security-program-controlled performance process is maintained at Millie's headcount.,Do you formally review employee performance on a regular basis?,None,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,F. Physical and Environmental Security,F.1,"Has management approved a physical security program that is communicated to all parties involved, with an assigned owner responsible for maintenance and review?",Full,Yes,,,,"Yes. The HIPAA Safeguards Policy §III(c) Physical Safeguards (facility security plan, access control & validation, locked storage of PHI) plus the Paper Document Management Policy together constitute Millie's physical security program, with the Chief Security Officer as owner.",Do you have a leadership-approved program for physically securing your offices and facilities?,Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,G. IT Operations Management,G.1,"Are the organization's Information Technology Operations policies and procedures monitored, aligned with the organizational strategy, and communicated to the entire organization?",Full,Yes,,,,"Yes. The System Development Life Cycle (SDLC) & Asset Lifecycle Policy and Information Security Framework define Millie's IT operations posture, are aligned with the cloud-first technology strategy, and are communicated to personnel.",Are your day-to-day IT operations procedures aligned with company strategy and shared across the company?,Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,G. IT Operations Management,G.2,"Is there an operational Change Management/Change Control policy or program that has been documented, approved by management, communicated to appropriate constituents, and assigned an owner to maintain and review the policy?",Partial,Yes,,,,Yes. Production changes flow through Millie's source-control and deployment pipeline (GitHub pull-request review plus Aptible deploys) with the Chief Security Officer as owner and Git/Aptible logs as the change record per the SDLC Policy §III(c) change-control addition.,"Do you have a written, approved process for managing changes to IT systems (so changes don't break things or weaken security)?",High,Current SDLC Policy §III(c) describes pre-deploy validation but does not discretely name a Change Management program with owner and review cadence; assessor scanning for the Change Mgmt clause will not find one without the appended sentence.,System Development Life Cycle (SDLC) & Asset Lifecycle Policy.md,"Changes to production systems shall require peer review and approval through Company's source-control and deployment pipeline (currently GitHub pull-request review plus Aptible deploys); the Chief Security Officer is the owner of this change-control process, which shall be reviewed at least annually, and a record of production changes shall be retained via Git history and Aptible deploy logs.",57
SIG Lite 2025,G. IT Operations Management,G.3,"Are information security requirements specified and implemented when new systems are introduced, upgraded, or enhanced?",Full,Yes,,,,"Yes. The System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(a)–(c) requires security and privacy requirements be considered at planning, configuration, and testing for new systems and material enhancements.",Do you build security requirements in from the start when adding or upgrading systems?,Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,H. Access Control,H.1,"Has management approved an access control policy, communicated it to constituents, appointed an owner to maintain it, and reviewed it?",Full,Yes,,,,"Yes. Information Security Framework §4 Access Control & Identity Management plus the HIPAA Safeguards Policy §III(b) constitute Millie's access control policy, with the Chief Security Officer as owner and periodic reviews.",Do you have a leadership-approved policy for granting and removing access to systems?,Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,H. Access Control,H.2,"Has management approved, communicated, and enforced a password policy for systems that transmit, process, or store scoped data on all platforms and network devices?",Full,Yes,,,,"Yes. The HIPAA Password Management Policy is management-approved and enforced across platforms (8+ characters, complexity, prohibited patterns, deactivation on termination, mandatory 2FA).",Do you have an approved password policy enforced across all systems and network devices that touch customer data?,Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,H. Access Control,H.2.1 ,"Does the password policy require keeping passwords confidential?
",,Yes,,,,,,,,,,
SIG Lite 2025,I. Application Management,I.1,"Are applications used to transmit, process, or store scoped data?",Full,Yes,,,,Yes. The Millie web/mobile application processes scoped data (PHI / PII); see Information Security Framework §3 Data Classification & Handling and the Platforms Matrix.,"Are software applications used to transmit, process, or store our (the assessor's) data?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,I. Application Management,I.2,Is application development performed?,Full,Yes,,,,Yes. Application development is performed in-house following the System Development Life Cycle (SDLC) & Asset Lifecycle Policy.,Do you build your own software (versus only using off-the-shelf products)?,Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,I. Application Management,I.3,"Is a web site or web application supported, hosted, or maintained that processes scoped systems and data?",Full,Yes,,,,Yes. Millie hosts a web and mobile application that processes scoped data; deployed on Aptible per the SDLC Policy and Information Security Framework §5–§7.,Do you run a website or web application that touches our data?,Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,I. Application Management,I.3.1,"Are security configuration standards documented for web server software
",,Yes,,,,,,,,,,
SIG Lite 2025,I. Application Management,I.3.2,Is an Application Programming Interface (API) available to clients?,,Yes,,,,,,,,,,
SIG Lite 2025,J. Cybersecurity Incident Mgmt.,J.1,Has management approved and communicated a Cybersecurity Incident Management Program with a designated owner to maintain and review it?,Full,Yes,,,,"Yes. The HIPAA Security Incident Management Policy and AWS and Aptible Security Incident Management Policy are management-approved, name the Chief Security Officer as owner, and are reviewed annually.","Do you have a leadership-approved program for handling cybersecurity incidents, with someone in charge of it?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,J. Cybersecurity Incident Mgmt.,J.4,Does the organization have a documented Incident Response Plan that outlines the escalation process?,Full,Yes,,,,"Yes. The HIPAA Security Incident Management Policy §III(b) Incident Response and the AWS and Aptible Security Incident Management Policy define escalation through the Chief Security Officer to Chief Privacy Officer, Chief Compliance Officer, and CEO as appropriate.",Do you have a written incident-response plan showing who gets notified and when as an incident escalates?,Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,J. Cybersecurity Incident Mgmt.,J.5,Is there a specific methodology to regularly review events on scoped systems or systems containing scoped data to uncover potential incidents?,Partial,Yes,,,,"Yes. Per Information Security Framework §7 (with the monthly review-cadence addition), the Chief Security Officer reviews GuardDuty findings, CloudTrail anomalies, and Aptible application audit logs monthly to identify potential incidents, in addition to event-driven review.","Do you regularly review system events (logs, alerts) to spot potential incidents?",High,"Framework §7 currently says logs are reviewed 'as needed' — not a methodology. Without the monthly-cadence addition, an assessor will flag absence of a proactive review process.",Millie Information Security & Data Governance Framework (1).md,"The Chief Security Officer (or designee) shall review GuardDuty findings, CloudTrail anomalies, and Aptible application audit logs on at least a monthly cadence to identify potential incidents, in addition to event-driven review, with findings logged and escalated through the Security Incident Management Policy.",43
SIG Lite 2025,J. Cybersecurity Incident Mgmt.,J.5.1," Does regular security monitoring include alerts for malware infections and suspicious activity?
",,Yes,,,,,,,,,,
SIG Lite 2025,J. Cybersecurity Incident Mgmt.,J.11,Has the organization outsourced its incident reporting responsibilities to a third-party service provider?,Yes,No,,,,No. Incident reporting is owned internally by the Chief Security Officer and Chief Privacy Officer per the HIPAA Security Incident Management Policy and Breach Notification Policy; Millie does not outsource incident reporting to a third-party service provider.,Have you outsourced your incident-reporting duties to a third-party provider?,Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,J. Cybersecurity Incident Mgmt.,J.14,Are the actions conducted during an incident investigation formally documented and protected from unauthorized changes?,Partial,Yes,,,,"Yes. Per the HIPAA Security Incident Management Policy §III(c) Log (with the integrity-protection addition), the incident log is maintained in a restricted-access Company system with auditable edits and retained for at least six years.",Are the steps taken during an incident investigation formally written down and protected from tampering?,Medium,"Current §III(c) describes what is logged but does not state the log is access-restricted, tamper-evident, and retained for six years; assessor may want explicit integrity assurance.",03s HIPAA - Security Incident Management Policy (2).md,"The incident log shall be maintained in a restricted-access Company system, edits shall be auditable, and the log shall be retained for at least six years consistent with HIPAA documentation requirements.",31
SIG Lite 2025,K. Operational Resilience,K.1,"Has the organization established a Business Resilience Policy, designated an owner to maintain and review it, and communicated it?",Full,Yes,,,,"Yes. The HIPAA Contingency Planning Policy is management-approved, names the Chief Security Officer as owner, and is communicated to personnel.","Do you have a leadership-approved business resilience (keep-the-lights-on) policy, with an owner and shared with staff?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,K. Operational Resilience,K.2,"Is there a formal, documented information technology disaster recovery exercise and testing program in place?",Partial,Yes,,FOLLOW UP,,Yes. The Contingency Planning Policy §III(d) (with the annual-exercise addition) requires the Chief Security Officer to coordinate at least an annual tabletop or walk-through exercise of the disaster recovery plan and feed material findings into risk management.,Do you have a written program for periodically exercising and testing your IT disaster-recovery plan?,High,"Source CSV flagged FOLLOW UP. Contingency Planning Policy currently describes backups, DR plan, and third-party coordination but does not require periodic exercise/testing of the DR plan.",03d HIPAA - Contingency Planning Policy (1).md,"The Chief Security Officer shall coordinate at least an annual tabletop or walk-through exercise of the disaster recovery plan, document the outcome, and feed material findings into the risk management process.",31
SIG Lite 2025,K. Operational Resilience,K.3,Are there any dependencies on critical third party service providers?,Full,Yes,,,,"Yes. The Contingency Planning Policy §III(h) Pandemic Operations & Multi-Vendor Risk identifies critical third-party dependencies (Aptible, AWS, Cloudflare, Google Workspace) as documented accepted risks reviewed annually.",Do you depend on any critical outside service providers to keep operating?,Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,K. Operational Resilience,K.4,Is there a pandemic/infectious disease outbreak plan?,Partial,Yes,,,,"Yes — via the Contingency Planning Policy §III(h) Pandemic Operations & Multi-Vendor Risk (read with the Millie Clinic COVID Policy), which governs pandemic / infectious-disease operations including telehealth-first scheduling, essential on-site staffing, and PPE protocols per CDPH/CDC guidance.",Do you have a plan for keeping operating during a pandemic or disease outbreak?,High,"Source CSV originally answered NO and flagged FOLLOW UP. Contingency Planning §III(h) and the COVID Policy now provide coverage, but the assessor may push back that the COVID Policy is single-disease and not a generalized pandemic plan.",N/A,N/A — no fix needed.,0
SIG Lite 2025,K. Operational Resilience,K.5,Is scoped data backed up and stored offsite?,Full,Yes,,,,"Yes. Per Information Security Framework §9–§10 and the Contingency Planning Policy §III(b), daily Aptible backups (with point-in-time recovery) and AWS S3 log archives provide offsite-equivalent cloud backup with redundancy.",Are backups of our data kept at a separate physical location?,Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,K. Operational Resilience,K.6,"Is there a formal process focused on identifying and addressing risks of disruptive events to business operations (e.g., operational risk assessment?)",Full,Yes,,,,Yes. The HIPAA Risk Management Policy §III defines an annual risk assessment plus as-needed assessments triggered by changes in business strategy or threats — explicitly covering disruptive-event risk identification.,Do you have a formal process for identifying and addressing risks of business-disrupting events?,Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,K. Operational Resilience,K.7,Have formal procedures for business continuity been developed and documented?,Full,Yes,,,,"Yes. The HIPAA Contingency Planning Policy documents business-continuity procedures including personnel safety, data and software backup, IT system inventory, third-party coordination, emergency operations, confidentiality, and insurance.","Do you have written, formal procedures for keeping the business running during disruptions?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,K. Operational Resilience,K.11,Is there a data retention policy or process with a retention schedule for scoped data?,Partial,Yes,,,,Yes. Information Security Framework §9 Data Retention & Lifecycle Management and the Paper Document Management Policy define the retention process; clinical/application data is retained per business and regulatory needs and logs for 6 months in DB then archived to AWS S3.,Do you have a policy and schedule for how long our data is retained?,Medium,Framework §9 currently says 'retained indefinitely' for application data; assessor may want a more structured retention schedule per data class.,N/A,N/A — no fix needed.,0
SIG Lite 2025,K. Operational Resilience,K.30,Is there a resiliency strategy that includes a multi-vendor strategy that mitigates key dependencies on third-party service providers?,Partial,NO,,FOLLOW UP,,"Acknowledged as a documented accepted single-vendor concentration. Per Contingency Planning Policy §III(h) Pandemic Operations & Multi-Vendor Risk, Millie's cloud-first stack on Aptible/AWS/Cloudflare/Google Workspace is reviewed annually by the Chief Security Officer with availability posture, data portability, and BAA status covered.",Does your resilience plan include using more than one vendor for critical functions so you're not stuck if one fails?,High,Source CSV originally answered NO and flagged FOLLOW UP. Posture is now documented as an accepted risk rather than a true multi-vendor strategy; assessor will likely push back at organizations expecting genuine redundancy.,N/A,N/A — no fix needed.,0
SIG Lite 2025,L. Compliance Management,L.1,"Are there policies and procedures to ensure compliance with applicable legislative, regulatory, and contractual requirements?",Full,Yes,,,,"Yes. The HIPAA policy suite plus the Information Security Framework, Privacy Policy, and Use & Disclosure Policy ensure compliance with HIPAA/HITECH and applicable state law (e.g., CA Civil Code 1798.29/1798.82) per the Breach Notification Policy Exhibit A.","Do you have policies and procedures that keep you in compliance with the laws, regulations, and contracts that apply to you?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,L. Compliance Management,L.2,"Is a web site(s) maintained or hosted for the purpose of advertising, offering, managing, or servicing accounts, products, or services to clients' customers?",Full,Yes,,,,"Yes. Millie maintains a public website and a patient-facing application that support care delivery, scheduling, and patient communication, governed by the Privacy Policy and Information Security Framework §3–§6.","Do you run a website that advertises, sells, or services accounts or products to our customers?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,L. Compliance Management,L.3,Are there policies and procedures for addressing antitrust and anti-competitive business practices?,N/A,N/A,,,,"N/A. A 30-person outpatient clinic does not maintain a standalone antitrust program; antitrust matters, if they arose, would be handled through outside legal counsel.",Do you have policies covering antitrust and anti-competitive business practices?,None,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,L. Compliance Management,L.4,Is there a documented internal compliance and ethics program?,N/A,N/A,,,,N/A as a standalone Code of Conduct. Compliance and ethics matters are handled through HR (Gusto) and outside legal counsel; security-relevant personnel obligations are codified in the Safeguards Policy and Workstation Use Policy.,Do you have a documented internal compliance and ethics program (code of conduct)?,None,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,L. Compliance Management,L.5,"Are documented policies and procedures maintained to enforce applicable legal, regulatory, or contractual cybersecurity compliance obligations?",Full,Yes,,,,"Yes. The HIPAA policy suite (Security Incident Management, Breach Notification, Encryption, Safeguards, Risk Management) plus the Information Security Framework codify legal and contractual cybersecurity obligations.","Do you have written policies that enforce your legal, regulatory, and contractual cybersecurity obligations?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,L. Compliance Management,L.6,Are there policies and procedures for detecting and preventing internal and external fraud?,N/A,N/A,,,,N/A as a standalone fraud program. Fraud risk is handled through HR (Gusto) and outside legal counsel; security-relevant misuse is addressed via the Safeguards Policy and HIPAA Security Incident Management Policy.,Do you have policies and procedures for detecting and preventing fraud (whether from insiders or outsiders)?,None,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,M. Endpoint Security,M.1,"Do desktops, laptops, tablets, or smartphones transmit, process, or store Scoped data?",Full,Yes,,,,"Yes. Desktops, laptops, tablets, and smartphones may process or transmit scoped data; per Workstation Use Policy §III(d) BYOD & Mobile Device Management, any device that accesses PHI must be MDM-enrolled with passcode, auto-lock, disk encryption, and remote wipe.","Do desktops, laptops, tablets, or phones touch our data?",Low,—,N/A,N/A — no fix needed.,0
SIG Lite 2025,M. Endpoint Security,M.1.1,"Does the organization's build and hardening standards criteria deploy endpoint security features to secure and prevent cybercriminals from gaining access to their network?
",,Yes,,,,,,,,,,
SIG Lite 2025,M. Endpoint Security,M.1.2,Are constituents allowed to utilize mobile devices within the organization's environment?,,Yes,,,,,,,,,,
SIG Lite 2025,M. Endpoint Security,M.1.3,Is there a mobile device management program in place that has been approved by management and communicated to appropriate constituents?,Partial,NO,,FOLLOW UP,,"Yes — documented in the Workstation Use Policy §III(d) BYOD & Mobile Device Management addition; MDM vendor selection is tracked operationally and devices accessing PHI must be enrolled with passcode, auto-lock, encryption, and remote-wipe capability.","Do you have a leadership-approved mobile-device-management program, communicated to staff?",High,"Source CSV answered NO and flagged FOLLOW UP. Workstation Use §III(d) now contains the documented program, but MDM tooling implementation is operationally pending and the assessor may want vendor confirmation.",N/A,N/A — no fix needed.,0
SIG Lite 2025,M. Endpoint Security,M.1.5,Are non-company managed computing devices used to connect to the company network?,Partial,YES,,FOLLOW UP,,"Yes — non-company-managed devices are used; per Workstation Use Policy §III(d) BYOD & Mobile Device Management, non-managed personal devices are restricted to web-based SaaS accessed via SSO/MFA and may not store PHI.",Do personally owned (non-company) computers ever connect to your company network?,High,Source CSV answered YES and flagged FOLLOW UP. Workstation Use §III(d) now contains the restriction; assessor may still want network-segmentation evidence.,N/A,N/A — no fix needed.,0
