"Questionnaire","Section","Item #","Question","Current Answer","Current Status","Remediate Flag","Coverage","Proposed Answer","Flag Risk","Gap Description","Required Fix - File","Required Fix - Text","Required Fix - Words"
"SIG Lite 2025","B. Nth Party Management","B.2","For all organizational entities (e.g., vendor's vendors, subcontractors, fourth parties, Nth parties) is there a contractual relationship that extends obligations to each entity?","","","","Full","Yes. Per Information Security Framework §11 and the HIPAA Business Associate Agreement Policy, vendors handling PHI must execute a BAA and require materially similar privacy and security obligations of their subcontractors / subprocessors / Nth parties.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","C. Information Assurance","C.1","Is there a documented, approved cybersecurity risk management policy communicated across the organization?","","","","Full","Yes. The Information Security Framework and HIPAA Risk Management Policy together define Millie's cybersecurity risk management approach, are approved by Company leadership, and are communicated to personnel.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","C. Information Assurance","C.4","Is there a documented risk assessment process for information security with consistent and comparable results?","","","","Full","Yes. The HIPAA Risk Management Policy §III defines a repeatable nine-step assessment (universe of ePHI, threat ID, vulnerability ID, control analysis, likelihood, impact, risk determination, control recommendations, documentation) producing comparable results year over year.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","D. Asset and Info Management","D.1","Is there a management-approved asset management program that is communicated to constituents and has an owner to maintain, review, and manage IT assets (e.g. systems, hardware, services, and data), and respective controls, throughout their life cycles?","","","","Full","Yes. The System Development Life Cycle (SDLC) & Asset Lifecycle Policy is management-approved, names the Chief Security Officer as owner, and covers planning, deployment, operations, and retirement of systems and hardware; the Platforms & Access Matrix serves as the IT asset inventory.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","D. Asset and Info Management","D.2","Is there an acceptable use policy for information and associated assets that has been approved by management, communicated to appropriate constituents, and assigned an owner to maintain and periodically review the policy?","","","","Full","Yes. The HIPAA Workstation Use Policy and Safeguards Policy together constitute Millie's acceptable-use program covering workstations, mobile devices, BYOD, email, texting, and social media; both are management-approved and reviewed.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","D. Asset and Info Management","D.3","Is there a records retention policy and retention schedule covering paper and electronic records, including email in support of applicable regulations, standards, and contractual requirements?","","","","Partial","Yes. The Paper Document Management Policy and Information Security Framework §9 Data Retention & Lifecycle Management together govern retention; clinical / application data is retained per business and regulatory needs, logs for 6 months in DB then archived to AWS S3.","Medium","Framework §9 currently says 'retained indefinitely'; assessor may want a structured retention schedule per record class. Defensible at Millie's scale but flagged for terminology.","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","E. Human Resources Security","E.1","Are Human Resources policies and procedures approved by management, communicated to constituents and have an owner to maintain and review?","","","","N/A","N/A as a standalone security-team-owned policy. HR policies (background checks, performance reviews, sanctions) are administered through Gusto and reviewed by Millie's People Ops function; security obligations on personnel are codified in the Safeguards Policy and Workstation Use Policy.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","E. Human Resources Security","E.3","Does the organization have an employee performance process that is documented, maintained, and reviewed by management periodically?","","","","N/A","N/A. Employee performance is managed through Millie's People Ops function via Gusto with periodic management review; no separate security-program-controlled performance process is maintained at Millie's headcount.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","F. Physical and Environmental Security","F.1","Has management approved a physical security program that is communicated to all parties involved, with an assigned owner responsible for maintenance and review?","","","","Full","Yes. The HIPAA Safeguards Policy §III(c) Physical Safeguards (facility security plan, access control & validation, locked storage of PHI) plus the Paper Document Management Policy together constitute Millie's physical security program, with the Chief Security Officer as owner.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","G. IT Operations Management","G.1","Are the organization's Information Technology Operations policies and procedures monitored, aligned with the organizational strategy, and communicated to the entire organization?","","","","Full","Yes. The System Development Life Cycle (SDLC) & Asset Lifecycle Policy and Information Security Framework define Millie's IT operations posture, are aligned with the cloud-first technology strategy, and are communicated to personnel.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","G. IT Operations Management","G.2","Is there an operational Change Management/Change Control policy or program that has been documented, approved by management, communicated to appropriate constituents, and assigned an owner to maintain and review the policy?","","","","Partial","Yes. Production changes flow through Millie's source-control and deployment pipeline (GitHub pull-request review plus Aptible deploys) with the Chief Security Officer as owner and Git/Aptible logs as the change record per the SDLC Policy §III(c) change-control addition.","High","Current SDLC Policy §III(c) describes pre-deploy validation but does not discretely name a Change Management program with owner and review cadence; assessor scanning for the Change Mgmt clause will not find one without the appended sentence.","System Development Life Cycle (SDLC) & Asset Lifecycle Policy.md","Changes to production systems shall require peer review and approval through Company's source-control and deployment pipeline (currently GitHub pull-request review plus Aptible deploys); the Chief Security Officer is the owner of this change-control process, which shall be reviewed at least annually, and a record of production changes shall be retained via Git history and Aptible deploy logs.","57"
"SIG Lite 2025","G. IT Operations Management","G.3","Are information security requirements specified and implemented when new systems are introduced, upgraded, or enhanced?","","","","Full","Yes. The System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(a)–(c) requires security and privacy requirements be considered at planning, configuration, and testing for new systems and material enhancements.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","H. Access Control","H.1","Has management approved an access control policy, communicated it to constituents, appointed an owner to maintain it, and reviewed it?","","","","Full","Yes. Information Security Framework §4 Access Control & Identity Management plus the HIPAA Safeguards Policy §III(b) constitute Millie's access control policy, with the Chief Security Officer as owner and periodic reviews.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","H. Access Control","H.2","Has management approved, communicated, and enforced a password policy for systems that transmit, process, or store scoped data on all platforms and network devices?","","","","Full","Yes. The HIPAA Password Management Policy is management-approved and enforced across platforms (8+ characters, complexity, prohibited patterns, deactivation on termination, mandatory 2FA).","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","I. Application Management","I.1","Are applications used to transmit, process, or store scoped data?","","","","Full","Yes. The Millie web/mobile application processes scoped data (PHI / PII); see Information Security Framework §3 Data Classification & Handling and the Platforms Matrix.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","I. Application Management","I.2","Is application development performed?","","","","Full","Yes. Application development is performed in-house following the System Development Life Cycle (SDLC) & Asset Lifecycle Policy.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","I. Application Management","I.3","Is a web site or web application supported, hosted, or maintained that processes scoped systems and data?","","","","Full","Yes. Millie hosts a web and mobile application that processes scoped data; deployed on Aptible per the SDLC Policy and Information Security Framework §5–§7.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","J. Cybersecurity Incident Mgmt.","J.1","Has management approved and communicated a Cybersecurity Incident Management Program with a designated owner to maintain and review it?","","","","Full","Yes. The HIPAA Security Incident Management Policy and AWS and Aptible Security Incident Management Policy are management-approved, name the Chief Security Officer as owner, and are reviewed annually.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","J. Cybersecurity Incident Mgmt.","J.4","Does the organization have a documented Incident Response Plan that outlines the escalation process?","","","","Full","Yes. The HIPAA Security Incident Management Policy §III(b) Incident Response and the AWS and Aptible Security Incident Management Policy define escalation through the Chief Security Officer to Chief Privacy Officer, Chief Compliance Officer, and CEO as appropriate.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","J. Cybersecurity Incident Mgmt.","J.5","Is there a specific methodology to regularly review events on scoped systems or systems containing scoped data to uncover potential incidents?","","","","Partial","Yes. Per Information Security Framework §7 (with the monthly review-cadence addition), the Chief Security Officer reviews GuardDuty findings, CloudTrail anomalies, and Aptible application audit logs monthly to identify potential incidents, in addition to event-driven review.","High","Framework §7 currently says logs are reviewed 'as needed' — not a methodology. Without the monthly-cadence addition, an assessor will flag absence of a proactive review process.","Millie Information Security & Data Governance Framework (1).md","The Chief Security Officer (or designee) shall review GuardDuty findings, CloudTrail anomalies, and Aptible application audit logs on at least a monthly cadence to identify potential incidents, in addition to event-driven review, with findings logged and escalated through the Security Incident Management Policy.","43"
"SIG Lite 2025","J. Cybersecurity Incident Mgmt.","J.11","Has the organization outsourced its incident reporting responsibilities to a third-party service provider?","","","","Full","No. Incident reporting is owned internally by the Chief Security Officer and Chief Privacy Officer per the HIPAA Security Incident Management Policy and Breach Notification Policy; Millie does not outsource incident reporting to a third-party service provider.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","J. Cybersecurity Incident Mgmt.","J.14","Are the actions conducted during an incident investigation formally documented and protected from unauthorized changes?","","","","Partial","Yes. Per the HIPAA Security Incident Management Policy §III(c) Log (with the integrity-protection addition), the incident log is maintained in a restricted-access Company system with auditable edits and retained for at least six years.","Medium","Current §III(c) describes what is logged but does not state the log is access-restricted, tamper-evident, and retained for six years; assessor may want explicit integrity assurance.","03s HIPAA - Security Incident Management Policy (2).md","The incident log shall be maintained in a restricted-access Company system, edits shall be auditable, and the log shall be retained for at least six years consistent with HIPAA documentation requirements.","31"
"SIG Lite 2025","K. Operational Resilience","K.1","Has the organization established a Business Resilience Policy, designated an owner to maintain and review it, and communicated it?","","","","Full","Yes. The HIPAA Contingency Planning Policy is management-approved, names the Chief Security Officer as owner, and is communicated to personnel.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","K. Operational Resilience","K.2","Is there a formal, documented information technology disaster recovery exercise and testing program in place?","","FOLLOW UP","","Partial","Yes. The Contingency Planning Policy §III(d) (with the annual-exercise addition) requires the Chief Security Officer to coordinate at least an annual tabletop or walk-through exercise of the disaster recovery plan and feed material findings into risk management.","High","Source CSV flagged FOLLOW UP. Contingency Planning Policy currently describes backups, DR plan, and third-party coordination but does not require periodic exercise/testing of the DR plan.","03d HIPAA - Contingency Planning Policy (1).md","The Chief Security Officer shall coordinate at least an annual tabletop or walk-through exercise of the disaster recovery plan, document the outcome, and feed material findings into the risk management process.","31"
"SIG Lite 2025","K. Operational Resilience","K.3","Are there any dependencies on critical third party service providers?","","","","Full","Yes. The Contingency Planning Policy §III(h) Pandemic Operations & Multi-Vendor Risk identifies critical third-party dependencies (Aptible, AWS, Cloudflare, Google Workspace) as documented accepted risks reviewed annually.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","K. Operational Resilience","K.4","Is there a pandemic/infectious disease outbreak plan?","NO","FOLLOW UP","","Partial","Yes — via the Contingency Planning Policy §III(h) Pandemic Operations & Multi-Vendor Risk (read with the Millie Clinic COVID Policy), which governs pandemic / infectious-disease operations including telehealth-first scheduling, essential on-site staffing, and PPE protocols per CDPH/CDC guidance.","High","Source CSV originally answered NO and flagged FOLLOW UP. Contingency Planning §III(h) and the COVID Policy now provide coverage, but the assessor may push back that the COVID Policy is single-disease and not a generalized pandemic plan.","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","K. Operational Resilience","K.5","Is scoped data backed up and stored offsite?","","","","Full","Yes. Per Information Security Framework §9–§10 and the Contingency Planning Policy §III(b), daily Aptible backups (with point-in-time recovery) and AWS S3 log archives provide offsite-equivalent cloud backup with redundancy.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","K. Operational Resilience","K.6","Is there a formal process focused on identifying and addressing risks of disruptive events to business operations (e.g., operational risk assessment?)","","","","Full","Yes. The HIPAA Risk Management Policy §III defines an annual risk assessment plus as-needed assessments triggered by changes in business strategy or threats — explicitly covering disruptive-event risk identification.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","K. Operational Resilience","K.7","Have formal procedures for business continuity been developed and documented?","","","","Full","Yes. The HIPAA Contingency Planning Policy documents business-continuity procedures including personnel safety, data and software backup, IT system inventory, third-party coordination, emergency operations, confidentiality, and insurance.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","K. Operational Resilience","K.11","Is there a data retention policy or process with a retention schedule for scoped data?","","","","Partial","Yes. Information Security Framework §9 Data Retention & Lifecycle Management and the Paper Document Management Policy define the retention process; clinical/application data is retained per business and regulatory needs and logs for 6 months in DB then archived to AWS S3.","Medium","Framework §9 currently says 'retained indefinitely' for application data; assessor may want a more structured retention schedule per data class.","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","K. Operational Resilience","K.30","Is there a resiliency strategy that includes a multi-vendor strategy that mitigates key dependencies on third-party service providers?","NO","FOLLOW UP","","Partial","Acknowledged as a documented accepted single-vendor concentration. Per Contingency Planning Policy §III(h) Pandemic Operations & Multi-Vendor Risk, Millie's cloud-first stack on Aptible/AWS/Cloudflare/Google Workspace is reviewed annually by the Chief Security Officer with availability posture, data portability, and BAA status covered.","High","Source CSV originally answered NO and flagged FOLLOW UP. Posture is now documented as an accepted risk rather than a true multi-vendor strategy; assessor will likely push back at organizations expecting genuine redundancy.","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","L. Compliance Management","L.1","Are there policies and procedures to ensure compliance with applicable legislative, regulatory, and contractual requirements?","","","","Full","Yes. The HIPAA policy suite plus the Information Security Framework, Privacy Policy, and Use & Disclosure Policy ensure compliance with HIPAA/HITECH and applicable state law (e.g., CA Civil Code 1798.29/1798.82) per the Breach Notification Policy Exhibit A.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","L. Compliance Management","L.2","Is a web site(s) maintained or hosted for the purpose of advertising, offering, managing, or servicing accounts, products, or services to clients' customers?","","","","Full","Yes. Millie maintains a public website and a patient-facing application that support care delivery, scheduling, and patient communication, governed by the Privacy Policy and Information Security Framework §3–§6.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","L. Compliance Management","L.3","Are there policies and procedures for addressing antitrust and anti-competitive business practices?","","","","N/A","N/A. A 30-person outpatient clinic does not maintain a standalone antitrust program; antitrust matters, if they arose, would be handled through outside legal counsel.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","L. Compliance Management","L.4","Is there a documented internal compliance and ethics program?","","","","N/A","N/A as a standalone Code of Conduct. Compliance and ethics matters are handled through HR (Gusto) and outside legal counsel; security-relevant personnel obligations are codified in the Safeguards Policy and Workstation Use Policy.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","L. Compliance Management","L.5","Are documented policies and procedures maintained to enforce applicable legal, regulatory, or contractual cybersecurity compliance obligations?","","","","Full","Yes. The HIPAA policy suite (Security Incident Management, Breach Notification, Encryption, Safeguards, Risk Management) plus the Information Security Framework codify legal and contractual cybersecurity obligations.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","L. Compliance Management","L.6","Are there policies and procedures for detecting and preventing internal and external fraud?","","","","N/A","N/A as a standalone fraud program. Fraud risk is handled through HR (Gusto) and outside legal counsel; security-relevant misuse is addressed via the Safeguards Policy and HIPAA Security Incident Management Policy.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","M. Endpoint Security","M.1","Do desktops, laptops, tablets, or smartphones transmit, process, or store Scoped data?","","","","Full","Yes. Desktops, laptops, tablets, and smartphones may process or transmit scoped data; per Workstation Use Policy §III(d) BYOD & Mobile Device Management, any device that accesses PHI must be MDM-enrolled with passcode, auto-lock, disk encryption, and remote wipe.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","M. Endpoint Security","M.1.3","M.1.3 Is there a mobile device management program in place that has been approved by management and communicated to appropriate constituents?","NO","FOLLOW UP","","Partial","Yes — documented in the Workstation Use Policy §III(d) BYOD & Mobile Device Management addition; MDM vendor selection is tracked operationally and devices accessing PHI must be enrolled with passcode, auto-lock, encryption, and remote-wipe capability.","High","Source CSV answered NO and flagged FOLLOW UP. Workstation Use §III(d) now contains the documented program, but MDM tooling implementation is operationally pending and the assessor may want vendor confirmation.","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","M. Endpoint Security","M.1.5","M.1.5 Are non-company managed computing devices used to connect to the company network?","YES","FOLLOW UP","","Partial","Yes — non-company-managed devices are used; per Workstation Use Policy §III(d) BYOD & Mobile Device Management, non-managed personal devices are restricted to web-based SaaS accessed via SSO/MFA and may not store PHI.","High","Source CSV answered YES and flagged FOLLOW UP. Workstation Use §III(d) now contains the restriction; assessor may still want network-segmentation evidence.","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","M. Endpoint Security","M.1.5","M.1.6 Are any mobile devices with access to scoped data Constituent owned (BYOD)?","YES","FOLLOW UP","","Partial","Yes — BYOD mobile devices may access scoped data; per Workstation Use Policy §III(d), such devices must be MDM-enrolled with passcode/auto-lock/encryption/remote wipe, or restricted to SSO-MFA web SaaS with no local PHI.","High","Source CSV answered YES and flagged FOLLOW UP. Workstation Use §III(d) now contains the BYOD posture; assessor may want MDM enrollment evidence.","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","M. Endpoint Security","M.3","","","","","N/A","N/A. Millie does not deploy networked collaborative computing devices (networked whiteboards, room cameras / microphones) in its clinics; video visits are conducted on personal devices via Zoom per the Platforms & Access Matrix and Workstation Use Policy.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","N. Network Security","N.1","Does the organization build and maintain a secure network and systems?","","","","Full","Yes. Millie builds and maintains a secure cloud network per Information Security Framework §4 and §6, AWS Network Security (security groups, private subnets, NAT, S3 block-public-access), and Cloudflare edge controls.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","N. Network Security","N.2","Does the organization have a Network Security Program with a defined policy that outlines security requirements, is reviewed regularly by an owner, and communicated to relevant parties?","","","","Full","Yes. Information Security Framework §6 Data Transmission & Sharing combined with AWS Network Security configurations constitute Millie's network security program; reviewed by the Chief Security Officer and communicated to personnel.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","N. Network Security","N.3","Is every connection to an external network terminated at a firewall e.g., the Internet, partner networks?","","","","Full","Yes. External traffic terminates at the Cloudflare edge and AWS security-group / NAT-gateway boundary per Information Security Framework §6 and AWS Network Security responses; no direct external network reaches internal resources.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","N. Network Security","N.4","Are all network devices patched with all, available high-risk security patches applied and verified?","","","","Full","Yes. Patching is handled by managed-service vendors (Aptible, AWS, Cloudflare) for infrastructure devices; application-side patching follows the SDLC Policy §III(d) and the Information Security Framework §6 dependency triage cadence.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","N. Network Security","N.5","Has management approved a policy for remote access to scoped systems and data communicated to constituents?","","","","Full","Yes. The HIPAA Remote Access Policy is management-approved, names the Chief Security Officer as oversight owner, and is communicated to personnel.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","N. Network Security","N.7","Are Network Intrusion Detection/Prevention Systems (NIDS/NIPS) employed e.g., appliances, software, etc.?","","","","Full","Yes. AWS GuardDuty provides intrusion detection across active regions and Cloudflare provides WAF/edge protection, per Information Security Framework §7 and AWS Detection & Monitoring responses.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","N. Network Security","N.8","Is there an DMZ environment within the network that transmits, processes, or stores scoped systems and data e.g., web servers, DNS, directory services, remote access, etc.?","","","","N/A","N/A. Millie's cloud-first architecture does not use a traditional DMZ; external traffic terminates at Cloudflare and AWS edge controls, with internal services in private subnets per Information Security Framework §6 and AWS Network Security row 2.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","N. Network Security","N.9","Is there a wireless policy or program that has been approved by management, communicated to appropriate constituents and has an owner to maintain, and review the policy?","","","","N/A","N/A as a documented internal wireless program. Clinic wireless is provided by managed ISP equipment in the two outpatient sites; PHI is transmitted over encrypted channels per the Encryption Policy regardless of network medium.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","N. Network Security","N.11","Are there security standards, baseline configurations, patching, access control, and strong passwords for network devices such as Firewalls, Switches, Routers, and Wireless Access Points?","","","","Full","Yes. Baseline configurations, patching, access control, and strong passwords for cloud network controls (security groups, Cloudflare, AWS console) are governed by Information Security Framework §4, §6, the Password Management Policy, and AWS Network Security responses.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","N. Network Security","N.12","Are default passwords changed or disabled prior to placing network devices into production?","","","","Full","Yes. Cloud network controls (AWS, Cloudflare, Aptible) are deployed without vendor default credentials; Password Management Policy §III enforces strong passwords on all accounts, with MFA required per Information Security Framework §4.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.1","Does the organization have and adhere to an environmental policy that sets out clear commitments and targets to improve the organization's footprint?","","","","N/A","N/A. A 30-person outpatient clinic does not maintain a formal environmental policy with documented footprint commitments and targets.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.2","Does the organization have material discharges to air as a direct result of its operations?","","","","N/A","N/A. Millie's outpatient clinic operations do not produce material discharges to air; clinical and biohazard waste is handled per standard medical-waste regulations.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.3","Does the organization have processes to ensure that there are no material discharges to land or water, as a direct result of business operations?","","","","N/A","N/A. Outpatient operations do not produce material discharges to land or water; clinical waste is handled per standard medical-waste regulations.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.4","Has the organization implemented procedures to ensure the safe use, handling, storage, and disposal of hazardous/toxic chemicals and substances?","","","","N/A","N/A. Routine handling of clinical reagents and waste follows standard medical-waste procedures; a separate hazardous-substances program is not maintained at Millie's size.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.5","Does the organization maintain processes to ensure there are no adverse impacts on biodiversity, including deforestation, ecosystem integrity, natural resource conservation, and land degradation?","","","","N/A","N/A. Outpatient clinic operations do not have material biodiversity, deforestation, ecosystem, or land-degradation impacts.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.6","Are there any financial provisions in the annual accounting statements of the organization to address environmental issues, breaches, non-compliances, enforcements, prosecutions, or fines, if they exist?","","","","N/A","N/A. A 30-person clinic does not maintain financial provisions in annual accounting for environmental issues; none are known to apply.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.7","Does the organization have documented policies and procedures in place that address the prevention of modern slavery?","","","","N/A","N/A as a standalone modern-slavery policy. Personnel and contractor relationships are governed by HR (Gusto), Safeguards Policy, and applicable US labor law.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.8","Does the organization ensure that sub-contractors are treated fairly and ethically per local standards and regulations?","","","","N/A","N/A as a standalone subcontractor-fairness program. Subcontractor relationships are governed via vendor agreements and BAAs per Information Security Framework §11 and applicable US labor law.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.9","Does the organization have a documented policy on Health and Safety?","","","","N/A","N/A as a standalone H&S policy distinct from clinical care. Clinical health and safety follows applicable medical and OSHA standards; the Millie Clinic COVID Policy and Safeguards Policy address infection-control and workplace safety.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.10","Has the organization established formal community relations programs to promote its involvement in the community?","","","","N/A","N/A. A formal community-relations program is not maintained at Millie's headcount.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.11","Does the organization have policies to ensure products and services do not generate health and safety concerns?","","","","N/A","N/A as a standalone product-safety policy. Clinical care follows applicable medical-practice standards and licensure obligations of Millie's providers.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.12","Does the organization have a formalized Environmental, Social, and Governance (ESG) program or set of policies & procedures aligned to its Enterprise Risk Management framework approved by executive management and the Board of Directors?","","","","N/A","N/A. A formalized ESG program aligned to an ERM framework approved by a Board of Directors is not in place at Millie's size.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.13","Does the organization have a formal diversity, equity, and inclusion (DEI) statement or policy?","","","","N/A","N/A as a standalone DEI policy distinct from HR. DEI considerations are addressed informally through HR (Gusto); a separate written DEI policy is not maintained at Millie's headcount.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","O. Environmental, Social and Governance (ESG)","O.14","Does the organization have a documented policy for Ethical Sourcing?","","","","N/A","N/A. A documented ethical-sourcing policy is not maintained at Millie's size; vendor sourcing is governed by Information Security Framework §11.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","P. Privacy Management","P.1","Is there collection, access, processing, disclosure, or retention of any classification of personal information or personal data of individuals on behalf of the client?","","","","Full","Yes. Millie collects, processes, and retains PHI and PII of its patients; governance is documented in the Privacy Policy and Information Security Framework §3 Data Classification & Handling.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","P. Privacy Management","P.2","Does the organization have a policy for preserving privacy and protecting personally identifiable information (PII) and is this policy communicated to all relevant parties?","","","","Full","Yes. The Millie Privacy Policy and Information Security Framework §3 codify privacy protection, are communicated to relevant parties, and are owned by the Chief Privacy Officer.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","P. Privacy Management","P.3","Has the organization developed and maintained a formal privacy program for the protection of personal information collected, accessed, transmitted, processed, disclosed, or retained on behalf of the client?","","","","Full","Yes. The HIPAA policy suite (Privacy, Use & Disclosure, Minimum Necessary, De-Identification, BAA, Breach Notification, Accounting of Disclosures, Individual Access, Amendments) constitutes Millie's formal privacy program.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","P. Privacy Management","P.4","Is there a training and awareness program that addresses data privacy and data protection obligations based on role for new workers (e.g., officers, directors, employees, contractors) at the time of onboarding?","","","","Full","Yes. The HIPAA Safeguards Policy §III(c)(vii) Training requires HIPAA training at onboarding with annual updates for all personnel including contractors.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","P. Privacy Management","P.5","Are there documented policies and procedures that define limits to the collection and use of personal information to authorized users regarding limiting the personal information collected and used by authorized users (e.g., minimum necessary, need to know, job role)?","","","","Full","Yes. The HIPAA Minimum Necessary Rule Policy plus Information Security Framework §3–§4 (role-based access, least privilege) define collection/use limits with 'need to know' criteria.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","P. Privacy Management","P.6","Does the organization have or maintain internet-facing website(s), mobile applications, platform, or other digital services or applications that collect, use, disclose, process, or retain client-scoped data that are accessed directly by individuals?","","","","Full","Yes. Millie operates a patient-facing web and mobile application that collects and processes PHI; governed by the Privacy Policy, Information Security Framework §3–§6, and HIPAA Individual Rights to Access policy.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","P. Privacy Management","P.8","Does the organization have a data governance program and designated body accountable to define and implement administrative, technical, and physical and environmental safeguards for the protection of client scoped data?","","","","Full","Yes. The Information Security Framework defines Millie's data governance program with the Chief Security Officer and Chief Privacy Officer accountable for administrative, physical, and technical safeguards per the Safeguards Policy.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","P. Privacy Management","P.9","Are there policies and procedures in place to detect and report privacy incidents (such as unauthorized disclosure, misuse, alteration, destruction, or other compromises of client data) in accordance with the Gramm-Leach-Bliley Act (GLBA) and the related Privacy and Security Safeguards Rules?","","","","N/A","N/A. Millie is a healthcare provider, not a financial institution; GLBA does not apply. Privacy-incident detection and reporting follow the HIPAA Breach Notification Policy and Security Incident Management Policy.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","P. Privacy Management","P.10","Do any other parties (e.g., affiliates, fourth-Nth parties, contractors, subcontractors, sub-processors, sub-service organizations, etc.) have access to, receive, process, or retain client scoped data?","","","","Full","Yes. Subcontractors and subprocessors may access scoped data under BAAs; flow-down requirements are documented in Information Security Framework §11 and the HIPAA BAA Policy / Subcontractor BAA template.","Low","—","N/A","N/A — no fix needed.","0"
